"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU207"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	NA	NA
"OTU208"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU209"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	NA	NA	NA
"OTU210"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	NA
"OTU211"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU212"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU213"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU214"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylobacillus"	NA
"OTU215"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU216"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU217"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU218"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU219"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU220"	"Bacteria"	"Ignavibacteriota"	"Ignavibacteria"	"Ignavibacteriales"	NA	NA	NA
"OTU221"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"	NA
"OTU222"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"SH-PL14"	NA
"OTU223"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU224"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU225"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU226"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU227"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU228"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU229"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU230"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU231"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU232"	"Bacteria"	"Planctomycetota"	"Brocadiae"	"Brocadiales"	NA	NA	NA
"OTU233"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU234"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	NA
